Image,Predicted Cell Count
SIMCEPImages_A01_C1_F1_s01_w1.TIF,1.3949980735778809
SIMCEPImages_A01_C1_F1_s01_w2.TIF,0.8811793327331543
SIMCEPImages_A01_C1_F1_s02_w1.TIF,0.8729052543640137
SIMCEPImages_A01_C1_F1_s02_w2.TIF,0.8195171356201172
SIMCEPImages_A01_C1_F1_s03_w1.TIF,1.7644457817077637
SIMCEPImages_A01_C1_F1_s03_w2.TIF,1.0971620082855225
SIMCEPImages_A01_C1_F1_s04_w1.TIF,1.313300609588623
SIMCEPImages_A01_C1_F1_s04_w2.TIF,1.1617896556854248
SIMCEPImages_A01_C1_F1_s05_w1.TIF,1.5935826301574707
SIMCEPImages_A01_C1_F1_s05_w2.TIF,1.421609878540039
SIMCEPImages_A01_C1_F1_s08_w1.TIF,0.9000182151794434
SIMCEPImages_A02_C5_F1_s10_w2.TIF,5.0224809646606445
SIMCEPImages_A02_C5_F1_s16_w2.TIF,5.69491720199585
SIMCEPImages_A07_C27_F1_s18_w2.TIF,26.78693389892578
SIMCEPImages_A12_C48_F1_s23_w2.TIF,49.15340805053711
SIMCEPImages_A12_C48_F1_s24_w1.TIF,47.4605598449707
SIMCEPImages_A12_C48_F1_s24_w2.TIF,46.1989860534668
SIMCEPImages_A12_C48_F1_s25_w1.TIF,47.69865417480469
SIMCEPImages_A12_C48_F1_s25_w2.TIF,47.93876266479492
SIMCEPImages_A13_C53_F1_s01_w1.TIF,51.5307731628418
SIMCEPImages_A13_C53_F1_s04_w1.TIF,50.903106689453125
SIMCEPImages_A13_C53_F1_s04_w2.TIF,52.12569046020508
SIMCEPImages_A13_C53_F1_s05_w1.TIF,52.794410705566406
SIMCEPImages_A13_C53_F1_s05_w2.TIF,52.5713996887207
SIMCEPImages_A13_C53_F1_s06_w1.TIF,49.0380744934082
SIMCEPImages_A13_C53_F1_s06_w2.TIF,51.89705276489258
SIMCEPImages_A18_C74_F1_s01_w1.TIF,74.08680725097656
SIMCEPImages_A18_C74_F1_s01_w2.TIF,75.02357482910156
SIMCEPImages_A18_C74_F1_s02_w1.TIF,69.1056900024414
SIMCEPImages_A18_C74_F1_s02_w2.TIF,75.02001953125
SIMCEPImages_A18_C74_F1_s03_w1.TIF,73.15809631347656
SIMCEPImages_A18_C74_F1_s06_w2.TIF,74.65709686279297
SIMCEPImages_A18_C74_F1_s07_w1.TIF,72.43336486816406
SIMCEPImages_A18_C74_F1_s07_w2.TIF,71.53900146484375
SIMCEPImages_A18_C74_F1_s08_w1.TIF,73.51310729980469
SIMCEPImages_A18_C74_F1_s08_w2.TIF,73.67646789550781
SIMCEPImages_A18_C74_F1_s12_w1.TIF,73.80300903320312
SIMCEPImages_A18_C74_F1_s12_w2.TIF,74.65738677978516
SIMCEPImages_A18_C74_F1_s13_w1.TIF,72.86750030517578
SIMCEPImages_A18_C74_F1_s13_w2.TIF,74.42715454101562
SIMCEPImages_A18_C74_F1_s14_w1.TIF,74.72418975830078
SIMCEPImages_A19_C78_F1_s24_w1.TIF,75.34308624267578
SIMCEPImages_A19_C78_F1_s24_w2.TIF,77.2739028930664
SIMCEPImages_A19_C78_F1_s25_w1.TIF,75.44732666015625
SIMCEPImages_A19_C78_F1_s25_w2.TIF,78.61858367919922
SIMCEPImages_A20_C83_F1_s01_w1.TIF,81.12637329101562
SIMCEPImages_A20_C83_F1_s01_w2.TIF,81.10279846191406
SIMCEPImages_A20_C83_F1_s02_w1.TIF,79.85289001464844
SIMCEPImages_A20_C83_F1_s04_w2.TIF,82.75984954833984
SIMCEPImages_A20_C83_F1_s05_w1.TIF,82.1911392211914
SIMCEPImages_A20_C83_F1_s05_w2.TIF,84.10200500488281
SIMCEPImages_A20_C83_F1_s06_w1.TIF,80.85504150390625
SIMCEPImages_A20_C83_F1_s06_w2.TIF,79.6426010131836
SIMCEPImages_A20_C83_F1_s07_w1.TIF,81.45327758789062
SIMCEPImages_A20_C83_F1_s07_w2.TIF,82.18888854980469
